prepro,encoding
yes buddy i agree you are so clear thats good thing en i like this movie they should change their perspecti if they thing movie is wrong all bhasad is going on that so bad why they are not understanding movie its so simple,1
we are all indian we t ha any problem from the gornme why arundhathi roy and capil and all people ha problem why we need to all explain about nrc cab,0
ajay kumar gupta ase bhi india is d second most populated coury in d world for your kind information n yeah lo doesn t see anything i am straight but i support lgbt,0
i t care if my son or daughter is gay it would be difficult for me to understand him but i ll manage also if i get bisexual wife then i ll be glad she won t mind threesome,0
reject caa boycott nrc boycott npr,2
you are wasting your time while talking about such a poisonous women who thinks she is abo from the unirse what a nonsense women she is she is living in this coury try to destroy this couries institution making a fun of people s mandate,2
uscirf have you hered dear arnab also heared un thousand crores wasted on adaar to print this is not a document for citizenship your bark will not work my dear,0
you desers bohot kuch sir hats off,0
this woman is high on some cheap crack,0
what is the objecti of this lady,0
after this i found arjun reddy is far better and realistic,0
completed my pg before eryone else i mean i was the youngest among my classmates but i was always mature than eryone,0
your are great sir,0
could someone please translate this matter io english i would like to know what this man did to take renge,0
they are bhaavook emotional chutiyas,1
why r u debating this topic why not debating on india economy which is in icu unemployme i do understand why en ppl participate in like this kind of debate,0
first video which han t made fun or criticized after the rdict good work,0
do you wear this t shirt in public if yes then hats off to you bro,0
hypocrisy is a disease,0
but to be honest i ha seen girls who like this kind of individuals,0
i think you are one of the most honest youtubers on the platform respect,0
ranu mandal is not a good singer,2
really nice analysis as always,0
who the hell r these liberals and feminist assholes kick them all,2
also veere di wedding fake feminist piece of shit,0
plz talk on movie plz talk on story script craft acting boring review plz talk on movie,1
great way to justify an unreal character as if he is your father,1
i appreciate what you are saying i will always support you whater it takes,0
saw the eire review and she is gandu feminist,2
pseudo feminism has become a trend and actual feminism a myth,1
arundhati roy is a disgrace to india it s sad,0
bro how can you be so great its a pleasure to listen to your thoughts so straight to the poi and realistic,0
you got a subscriber,0
islam is peaceful religion eryone know this hei man what do you know about of islam last warning for you t bad commes of islam,0
ladies are criminal prone,2
this lady is lost sanity need to b se to meal asylum in guatmao need to b thrown out of the coury v r better off minus such traitors,0
why this channel and mr arnab goswamy not conducting debates on casteism in india discrimination in india corruption in india are these not issues that bleeding india,0
but film has true sense does happen in society simple,0
film companion channel h sbse jyada uske channel pr hi view h review ke m,0
ravish kumar doesn t know the abc of journalism,1
i totally agree with you sir,0
en crores look tough,0
nupur en though ur poi is right ur so bloody irritating shut up listen and then speak,2
i agree with you,0
it s ry good message you ga thanks a lot,0
vipul bisht look around all the men of s do they look as young as ramadhir in his s except for dilip kumar and dharmendra the answer is no that too dharmendra at this age can t run and shoot fire arms unlike ramadhir,0
www youtube com watch v n zmfqmzos t m s ga d marao bhosdike damn true brother,0
perce accepted your words,0
who call this loose kastoori,0
we all knew that the movie was a little or the top the main issue was the selecti outrage from the feminist brigade they critise certain movies that potray male lead characters as domina and vile but at the same time they encourage toxic female behaviours in movies who treat their male couerparts as dog shit we somehow had to defend kabir singh there was no other way around,1
feminism is a cancer,2
a ry good answer to all the pseudo liberals nd pseudo feminists,0
i know arnab is govt funded but on this poi i agree that arundhati roy not required in india,0
how many of the viewers study feminism masculinism instead of watching movies,0
singh okay i need an honest long distance boyfriend,0
few persons whether artist writters economist how many r they are they our future decider my opinion we are coury fate designer they are not newtons or sir einsteins these urban naxaulites are misleading for their personal money wealth put them in the gutter,2
god bless jahangir sir great job,0
how can u talk for so much time and u looking just at the camera which means it s like talking to yourself,0
now a days its become a tact for girls to snatch money from boys family shame on girls for misusing it,1
i agree with you firmly i felt the same thing,0
i do know much about homosexuals but i definitely would say that transgenders should not be allowed,0
arjun reddy and kabir singh both are worst movies nothing so realistic ok,0
waiting for this video best review,0
i hope u didn t watched whole video,0
all producers be like bhos ke,1
dislikes from bollywood actors and actress,0
this must be happened if there is misused of law,1
harish bhandary she is a failed soft porn actress from the south,0
why did censor board beep off abusi words in hindi language in this movie why not in english,0
i actually found ryan reynold s definitely maybe to be a more realistic lo story than kabir singh,0
kaafi tanda tha josh ki kmi thi otherwise awesome keep playing,0
its not movie its my life that s why i t ha courage to see it and watching its story here,0
exactly these assholic memers posted piles of shit memes on social media about this absolutely rubbish and nonsensical film i can t en call it a film such directors should stop making movies asap otherwise already shitty bollywood is going to become en more shittier,2
i am big fan of u lo you thanks for videos,0
hey he looks like poisonous sample ankush,0
such a stupid short film negati impact on the gay community,1
bro see sohum shah s tumbbad ship of thesus and a short film called new borns it is your type of movies and it is extremely underrated because no one really we to watch these films as indians ner support good cinema these films t ha item songs sohum shah is ry underrated,0
akhter madan i am hindu but i respect all religion also with islam,0
you re a true genius,0
when i st heard about her n her voice i sympathized her but when i know about her behavior i started hate her not only me but the whole india i agree with what u said she really need to learn politeness n she is not only the who has such a nice voice,0
goswami haha true that,0
top sameer punjabi hi,0
this is the best review of this movie,0
arrested for what know a little about our constitution let s see who will arrest her,0
finally some genuine reviews about the absurdity going on in the curre bollywood movies,0
hat s off to you bro absolutely right,0
bhai review movie article please,0
one of the worst movies it makes me hate more bollytards sad to see this garbage movie earning that much money,0
this whore is a member of psuedo iellectual secular gang she made a villa in nai st s land,2
no hope for the cigarette smoking whore might as well just get mashed under a truck and that other guy should be bur ali along with the whore that caused his life,0
k singh feels like you t gi f to feminism either cou yourself in,0
ayushman khurana after watching this video mogambo khus hua,0
pratik superb review i lo the movie this is an master piece i ha watch this time i ha to see this again an again,0
be respect woman feeling and good story,0
well e justice delired,0
pratik borade i asked how would you take if singh is muslim not how he will go,0
arnab t gi more importa to mrs roy just take her in custody and demonstrate law exist,0
youtu be vlkh yxuam,0
you share my feelings bro,0
arnab or people like arundhati roy are sponsored by enemies of india to keep india from making progress people like her should not be gin any importance and should be charged so that they are accouable for their seditious actions and speech,0
i was ry curious about the way this film became so famous so thought of watching when it premiered in tv i got bored by ierval i am really shocked how this movie was liked by so many people i agree with you this movie is far from reality and this feminist argumes are also senseless i did like it a bit ya seriously,1
shwetabh bhai you are one of the best youtuber,0
gornme waiting to ierfere with all it s ielligence to keep her mouth shut for er,1
haryanvi jatt man ry ry bc,0
more we look at this woman arundhiti am convinced she is the reincarnation of ravan s sister supernkha,1
we need mens in the army not gay,0
phone sex iam from odisha state bhubaneswar iam just yr iam specialist body massagboy home services available first demo free service available,0
and now we pashtoons are the bitches of punjabis the same punjabis we once ruled the punjabi army can do whater they wa to pashtuns and nobody would say a word besides most muslim rulers of india were of turko mongolic origins,0
nice nice nice nice nice nice nice,0
good analysis u speaks good,0
don t watch after minutes spoiler ahead,0
maurya no i t think so,0
kabir arjun reddy comme which film best,0
www bbc com marathi india,0
we wa to read your book sir please make it available,0
just because one of her books won a prize she considers herself importa neta does she wash her face and mouth p,0
lezion firzt okey so fake acce,0
you exposed your self what is harm for you ha you any guards to make commes or political leaders on their education corol or english and back ground i am not a fan of ranu mondal you must more cautious on language before such commes,2
nice concept guys keep it up,0
awsome understanding and review,0
feminism liberalism cancer as i always say,2
u r fire broo,0
brother please emphasize on review,0
you are right sir bollywood movies can nsr be realistic ones their minds are dash,0
where is the review of singh,0
arundathi roy wa violence,0
is she a lady or some witch,1
sarma i don t like lgbtq and i don t suppo them this is my view my speech i live in a democracy so i want to make these people to leave the country bloody idiots,2
ofcourse the acting is bullshit but the message is gud,1
after so long finally satisfied with the analysis of this shit movie all this time these all thoughts were shouting in my head the two parties both radical male and female feminists had shit on this topic so much but didn t gi any clear picture and impact you earned my respect bro,0
totally agree with you,0
rudra calling her kutti is insult to bitches arundhati is far wretched,0
lo you brother one sane voice amongst thousands of eunches,2
please post videos in mensutra channel also,0
ranu is a gost,2
bakwas movie bt shahid kapoor s acting was faastic,1
look at his t shirt high lel single person like me,0
watch gully boy shwetab bhai i bet you won t be disappoied,0
like if you support against these fake feminists,0
we watch movies to enjoy it that s my view following the character or not depends on the person himself,0
i would reqst all of you to report all such videos that spreads hatred towards anybody if u really wa peace n happiness in this coury or the world d support ppl who complicates things fr their selfishness,2
exactly bro medical line aur kabir movie just opposite hai,0
hi iam from odisha state bhubaneswar i wa make friendship with you and meet with you if you are ierested msg me on whatsapp and call me let see mine,0
pratik bhai on fire,0
one of my friend said gully boy is much better than the tashke files we ner had any discussion on movies after that,0
now it is going on gender bias and you do not lnow about any sury on women in inida first read the all the report and then speak your type of men in inid ais ry dangerous in our society,1
this man is sick,2
k singh yeah u r right it depends who learn what from where someone can learn good thing from the bad but someone can learn bad stuff from the gud stuff too u r absolutely right bcoz few lack to see the depth of the emotion but they only like see the reaction and wa an opportunity to replicate,0
you lost assembly election in last one year,0
arundhati roy should be behind bars,0
bhai eire indian eertainme industry is getting spoiled day by day in name of tv shows we ha bullshit web series is full of gali galoch and sex and reality show is out of reality our movies ha always shown us faltu ka pyaar bollywood assumes that eire indian audience is dumbass and show them anything that s why most of the movies in rece past ha turned out to be a disaster at the box office irrespecti of their starcast i hope they realise the gravity of the situation and think little bit maturely,0
nupur you are mad to shout or someone like this and arnab are you an anchor you let nupur go on shouting and use shitty words for so long,0
i hate these faminisim they t know en the meaning of it and called themsels feminist real woman t care of them,2
that s called haresh me not lo,2
i really appreciate and encourage the people who wish to do so then only the legal terrorists will be scared to lodge a false a cases mr jahangir hates off to you if you are in jail once almost your pis better,0
i think she is half meal plz send her to meal hospital,0
thank you ya for approving my post in facebook mensutra its make me feel good i lo your videos it helped me following since last year,0
the more scary fact is that people actually liked the movie i completely appreciate shahid s acting but the message and the stoy which this movie has man this is toxic but youth in india will soon become scary,1
true review pratik bhai true lo ki jai ho,0
there is nothing in this movie that can amaze any boy specially for girl this movie is may good coz after having so many x they finally wa that some one new came accept them with their dark secrets that y females are liking most this pethetic pies of shit and the respect of a female dr vanish from a common man view that s it,1
arnab goswami sir you as a bengali know what was bengal during independence struggle and how is bengal today after those glorious years of communists and trinamools,0
this lady is the true face of urban naxal and is paid by western couries and isi to destroy india by giving provocati speech she should be put behind bars,2
i am lesbian l lo you who er made this,0
all bitches need a lesson for misusing a all should be killed head shot,2
actual review of the movie starts at www youtube com watch v n zmfqmzos t m s,0
r they hero nd heroine how peculiar they r ravish from india,1
kabir shing jese movie social harming movie,0
bhai i hv seen arjun reddy owsm movie and,0
u r ri bro,0
i am lesbian and i am ry proud to be lesbian,0
arundati is ry rich where she get money who is paying her she looks depressed and senile,0
well e jahangir bai you are great,0
i am your one of the oldest subscriber and according to my judgeme you are clearly damn high if not thn probably extremely sleep deprid,0
this meally ill lady is a barking street dog whose ieions to pull people s atteion that she is ali,0
she is well known pro,0
best movie review for this movie,0
some lines were funny but true,0
when law t do insaf them this happens,0
arnab is not even wo hy to be called a kutta its an insult to a dog,2
agreed ry well said,0
i ha a doubt to ask is this lie detecting test too complicated why can t we use this in these a cases to know whether it s genuine of course women can also lie not just men,0
what about conservatis t be one sided ery side is corrupted and has ignora people,1
you make me think differely please make a video on busshit serd by dice media concept of tinder dating,0
i also like lesbian girl more than normal girl because i think lesbian girl r more iellige than normal girl they r more hot,0
anuroop he s talking shit from st line to last im also against to self destructiness but do tell me to become a emotionless robot if a girl is sile that delops create more opinions www youtube com watch v n zmfqmzos t m s sile people male or female ha more opinions bcz they keep mind calm nd think of seral things and better decision making skills because im also a sile guy i know i ca listen to his shit,0
congress and other left parties will be destroyed again in in next lok sabha election bjp will cross seats these pseudo liberals and pseudo seculars will only make this possible by their acts,0
some of them defaming the movie coz it was directed by a south director and did a better work than so called bollywood crap,1
i lo you so much bro,0
budhdhi randy would be good too,0
i m a feminist but i totally agree with erything you said kabir singh is a masterpiece,0
we the people should take law in our own hands to punish these traitors we just can t depend on our judiciary police and any political parties it s time to rebel against these ai national pigs and go the exte of eliminating them,0
freedom of speech does not mean she ll provoke innoce people to come out and gi them name of ranga and billa i m amazed who the foolish has gin her the booker prize she s not worth it,0
i lo u boss,0
lo you sir i am from canada,0
yes bro ry nice poi you explain us,0
this ancore and this tv news chanel did not know any things about to matter of army and kashmir he always bring the unnecessary drama,1
joker review lo from pakistan,0
south movie fans like here they are best than bollywood movie,0
u are much negati,0
this movie was copied copycat bollywood,0
approval of lgbt might reduce or population in india,0
i was waiting for this video since a long time,0
kabir singh director after watching this review will take morphin thats for sure,1
anywhere in the world she be locked up in the peace loving islamist coury s she be stoned to death india giving too much freedom for scums like her,2
mere dil ki baat bol di i told these things to my friends but eryone stopped talking to me after that,0
couldn t agree more,0
fuck boy play boy,0
bro joker movie review like it who all wa him to do,0
www youtube com watch v dctvge p a t m s,0
vhai tmi bong guy theke onek cool so what s upp bro,0
you should also talk about his acting skill we know the story was worse,0
girll right i just found that wrong talk abouth positi also shwetabh,0
not agree with you,0
the silly old man saying i m ranga billa,0
i jst hate her ranu beggar,2
raja ch lo you bro i m going again a,0
why animals other than humans do ha these same sex attraction backchodi hai ye homo lomo huh my life my choice mera bhi man karta hai gta jaise gun le kar nikal jaaun road pe insaan ki dimag ki bakwas hai ye,2
i lo you sir,0
hello my self sumit from india from kola i just wanna say you are most beautiful porimam bangladesh is most beautiful coury and having a lots of loly people so porimam you are looking ry nice i am your fan sumit,0
positi the kind of insults and accusations you ha berated me with real the true nature of feminism,2
you really wa to spoil such masterpieces,0
the art of knowing is to know what to ignore purequotes u,0
i totally agree with your thoughts,0
it s been told by many of the iellectual if you really waed to be rather than abusing movie take a mome and aware people en in usa and korean film industry where the coe is more deloped movies are the same some high coe we use to see and low coe we t en talk about so called film making ko buckchodi bolne se behtar hai start mome with your own followers else you were so irritating in this video thanks,1
right you are preteious ppls are those who dislike the,0
modi clearly declared every child can listen citizen of india are all one owaisi and rahul creating on purpose and arranging thse kind of dogs to come on tv all are paid,2
is she really a girl or transgender,0
she should be jailed,0
team naughty world fab again u guys rock keep it up waiting for more stuffs,0
who cares the randi,2
such a bad video it s a shame no one will do that people who are ignora will get mislead,1
true bruh but once you watch tamil movies they show society problems not like bollywood,0
awsome insights bro but plz gi spoiler alert,0
journalist should listen not his own indoctrination,0
dear pratik not all feminists and liberals go to extreme measures like putting down men and humanising terrorists and what not the cultural values you keep referring to are ruining women s and en men s lis in the whole world and especially in india need i meion dowry domestic violence rapes false rape accusations lgbtq rights mard ko dard nahi hota crap you just bashed two communities because of the behaviour of some of its members which is exactly what you accused them to do you are a hypocrite you are influencing a huge amou of people what you just did was spread hatred did you know feminist actually means the equality of the sexes not manhating as you said as for the review if you call slapping each other bashing your partner s family not being able to confro you dad about forcing you io marriage with another guy after becoming an independe woman a doctor forcing a girl on knife poi to show her body drugs smoking and drinking excessily because you cannot deal with a breakup performing surgury while ioxicated a heroic romance then god bless you god sa you sincerely a feminist,2
nupur is a warrior and other english speaking acce wali madam got brutally assaulted on li tv lol,0
u r really genius bro,0
co our extraordinarily lethargic and incompete judiciary drag these false cases for years though they ry well the truth all these years husbands and their family members li life like hell they are blackmailed extorted threatened of life and all this in the name of fake empowerme of women because this sers halwa poori to the senseless feminists why the law should be gender based and not the crime based look around honestly and see who is more victimized men or women,1
kabir singh aggressily chases his maid to assault her takes out his knife when the girl refuses to ha sex with him he also eers preeti s classroom announces in fro of eryone that she is his property ye sab problematic behavior hai iss tarah ka behavior ko glorify karna ya phir just his anger issue keh ke pass off kar dena sahi nhi hai do you ha any idea about exte of crime against women in india these movies promote such asshole type eitled behavior are in a way responsible for violence against women so called liberals ki moral values ko judge karne se pehle khud ki values ko evaluate karo if you are okay with all these there is a reason why india is one of the worse couries in the world for women think about it aur apne iss fake victimhood se bahar niklo,2
just was waiting for your review,0
with ankit are u asking for a item song and some cars crashing on that ramanujan movie,0
i completely support the general no gay sex in army so conduct unbecoming of an officer,0
too much spoiler change title,0
the world needs more men like you,0
movie was amazing shahid s acting was excelle erythimg about the movie is awesome those so called idiotic feminists are retarded that dumbass sucharita of film companion kept barking stupid things about kabir singh but that motherfucker liked nawazuddin s raman raghav what a fucking hypocrite she is so called those idiotic feminists liked four more shots but hated kabir kamaal ke chutiye log hai bhaad mein gaye aise chutiye,2
first start addressing this church bit h as sussanah which is her real name instead of using apeshit names like arundhati roy she is a christian same like usage of d raja for daniel raja of cpi presstitute media helps them in coring their real identity,2
aagya the most awaited video of all time,0
is it reply to rajeev mansad,0
www youtube com watch v n zmfqmzos t m s thank me later by giving like,0
sardard is the biggest name caller and is now poificating that namecalling is not good hypocrite,2
i totally agree with u,0
ranga billa that means she is either not aware of the ranga billa episode or faking it her psyche that means she also support them shockingly shameful,0
arundhati roy s commes are based on coradictory stateme made by prime minister and his home minister sourabh ms roy is neither prime minister of india nor home minister people of this coury are loosing their faith in this modi gornme since their decision are based on creating confusion in our lis in case you are a true journalist you should ask questions to the people sitting on the highest position such as pm hm or cm of up who has no faith in democratical value of the constitution,1
what you say is absolutely right i gues ye soch sabki ho,0
well good luck with teaching the audience what to take from the movie in already backward and patriarchal mindset prone regions of india bollywood not only cor people like us but also the people who does not the f of feminism,2
real men makes his purpose or pussy,1
www youtube com watch v n zmfqmzos t m s lit,0
movie thik he bas thodi lambi hogayi ghae me bhi dikha sakte the acting bhi achi he lekin lead character ke baare me jo criticism he that doesn t make any sense it is a movie and the character is a flawed one how is that so hard to get some people ha a hard time understanding coext,0
www youtube com watch v n zmfqmzos t m s man this guy is amazing,0
iellectuals and the so called secular are more uneducated and illiterate people ner trust them,0
i ha seen arjun reddy on which kabir shing based on and now both movies are a earning well and hit those who are negati minded are giving fake negati reviews ask them about tere naam movie of salman khan which has same kind of story line,2
these rubbish opposition are just depriving poor people of money by opposing this they are shameful,0
i han t seen the movie but your review convinced me to actually not watch the movie,0
main your language feroj alam,0
shahid kapoor has clearly said that this is a chutiya character its the chutiya audience which glorifies it,1
how feminist are feeling with singh equalist felt same watching more shots,1
why are we running behind the west although i m neutral on homosexuality i find it so sad it makes me so sad to see my people say accepting homosexuality takes them towards delopme and modernity we should not try so hard to fit in the west we are indian we should stand back to our own culture p s we are ex british colony so my education was always of english so i prefer to write in english,0
chutiya spotted liberalism doesn t means what you said feminism doesn t represe what you said,2
swetabh is always rock,0
fish market what a shame disgusting debate yuckkk,0
i was waiting for this video for a long time sir you always tell us the truth and the most appropriate thing,0
bhai lo u a lot big fan launde kya haal best dilogue,0
thanks vai for this video,0
nandi nothing for saying about ranu di our ranu mandol hip hip hurrah,0
don t call her prostitute because prostitute just sell their bodies for their survival but they t sells their morals but arundhati roy sells her morilaty and who knows she might sell her body and raul khan might be the result,2
rughwani mission mangal isn t great and iam not obsessed with hollywood it because those movies are great and made my mediocre filmaker,0
i watched almost all your movie reviews and videos but in those movies you are saying smoking and drinking is the symbol of poor lifestyle and i agree that but not here why,0
india mein jab tak cinema hai log chutiya banna pasand karte rahenge,0
just feminist bro not liberals,0
if you yourself will gi maa bahen ki gandi gali how are you upholding respect for women,0
all youngsters should watch this video,0
rajdeep such a shame right to free speech comes with reasonable restrictions read art,2
this man is fully confused he really need a girlfriend and he is telling us by mutual conse he did not mind if his girlfriend get fucked by someone else grow up man and change your tharki t shirt,2
thankyou for the quote that u put back there it helped me,0
it s black law period,0
i can so relate to this movie with my life brudda thankyou for awesome review i ha gin so many addictions to be with my ex again,0
he did good job masha allah let his parents be granted paradise by allah,0
she must be se to jail for ai national activities under nsa and psa,0
i didn t hate this movie but i can understand why people are so much up in arms against this movie the problem starts when people who watched this movie starts to replicate behaviour of kabir singh in their lis and then pose threat to other people around them that s where the core problem stems from does someone agree,0
dear feminists suck my dick,2
bro u r great u r relay taleed this topic is so amazing ryt fact,0
debnath same answer to you what i wrote for sandeep read it and read the bible once,0
days videos back to back,0
i was waiting for words tathahit liberals when i saw feminist in thumbnail,0
good job don t stop doing ur job okay,0
most honest review of a movie i ha er seen,0
arundhati r is a criminal but now the bjp guv ha gin them their ramban in the form of caa a no brainier can dig out what is there in caa,0
she meioned godi media now they are doing their job to debate upon let debate on modi lie on ram leela speech ish meh b anchor included congress again,0
good decision bipin rawat sir gay will blow the job of male army,0
the people who ha disliked the video they are the so called feminist and left liberals,1
if any such movies like kabir will release in future my one only request to audience is to make them disaster in box office please,0
india is a coury where u can say anything why does she not get arrested,0
well said bro keep it up,0
you re always right but there always been a positi aspect for this movie and that is the performance especially by shahid kapoor people s are loving to see the character of and how shahid played it what i wa to say is shahid nailed it as a character,0
they killed husbands pares they destroyed life of this man so they ha to be punished like this totally agree,1
true af ref to video batla house,0
sir i m agree with you,0
chutye sanju ke bare me kuch nahi bola it is just a movie watch it and lea it,2
the way he said break the chains dude,0
so right you are speaking on behalf of me too,0
uri has no item song,0
things u said are absolutely true but i saw this movie just as a movie man,0
ye dyne halala ka result hai,0
pandey that s the real face of you bi ch www youtube com results search query ch sorry i used that word but you deser it your funda is clear if someone has differe poi of view then start abusing and yes for chu yas like you,2
joker was a great film i m pretty sure shwetabh will gi great review,0
syria would be a good option her mother has some syrian roots good riddance,0
bollywood characters are also somehow influenced by previous generation bollywood characters,0
shwetabh you are an eye opener for youth of india hats off,0
fake feminism is spreading like plague,2
also kabir gaandu was an alcohol and drug abuser and then within one day he became completely sober bhai how can u cut off your addiction in one day,0
arnab for hean sake t call any person from tn actress s or acting here,0
unirsity topper all india topper world topper unirse topper,0
nice yar i lo you i kis you i kis you i kis you i kis you i kis miya khalifa,0
kabir is just the remastered rsion of s typical indian romaic movies,0
because ashiqui was remake of hollywood movie a star is born therefore that movie is realistic,0
ji ewcgsdffeewandal can yu call me dear on im in muumbai,0
excuse me if you are homosexual and there was such an thing as an afterlife you would be so embarrassed if you had a partner born with you now this is simply speculation hower homosexuality is nothing more than an obsession to oral sex and you wonder why aides exists in males who swallowed seamen,1
according to them it has a bad impact on society as it is glorifying alcohol and drugs like after watching gangs of wasseypur people started killing on roads randomly,1
only hrithik sir has best and differe type of movies,0
it s been years that i we to cinema hall because all the nonsense garbage is in film industry,0
she is possibly back in money collection mean free flow of foreign money for not doing any fruitful work like some of ngos rights organizations mode because her lifestyle must be getting affected she cannot do anything fruitful to earn money so get io such acts of misleading so that her flambouya style of living is not affected channels are there whose attempts are to build trp around such persons,0
she should be jailed under the law and what she is talking is totally lunatic and idiotic and totally planned speech arrest her or deport this devil,0
yes finally found a ry good review for kabir singh i wa this video to get million views,0
ye kuch reviewers qui film companion is movie pe tut hi pade hai jaise ye pure bollywood me sabse kharab movie ho wo log bol rahe hai ki preeti ke character ko bahot submissi bataya hai mujhe to nahi laga dekh ke infact she was keeping her pois and stuck to them your analysis of other s opinions is exactly correct great review,1
exactly and she called one guy rapist and perrt who critised her for using car and air conditioners which create global warming on twitter,0
subhoshree luks so ugly,0
yes so ppl like u can take dowry with an open hand,1
arandhuti roy is a person who do not belie in the concept of union of india and her soreigy and territorial iegrity mr chetan singh if npr iroduced by upa was clear and perfect then why it was not implemeed please accept failure in non implemeation of npr by upa,0
of bollywood movies will be illogical,1
bravo jahangir bhai great job let law police and these bloody feminists learn lessons men will be men i t see any problem with his anger he did right congrats,1
who made her advocate of supreme court,1
wow what a direction amazing work,0
nice video there are times when guys take girls for graed after she starts completely trusting her bf hubby and if girls t gi herself completely she s not in lo trying to just find out mistakes of the other person show himself to be right what about such guys how do you understand how to deal with such assholes,1
